,ID,Feature,Time
0,0,"(22.0967558524581, -8.411825059836959, 2.9374777484427232, 5.874955843206614, -3.175234000799688)",280
1,0,"(22.292410068405996, -8.459669093862296, 3.032903117798344, 5.843889783402052, -3.131243502286246)",281
2,0,"(22.401044260611, -8.914145000284982, 3.032903117798344, 5.843889783402052, -3.131243502286246)",282
3,0,"(22.398308262556498, -9.17850014420273, 3.032903117798344, 5.843889783402052, -3.131243502286246)",283
4,0,"(22.391270927837702, -9.858454669854687, 3.032903117798344, 5.843889783402052, -3.131243502286246)",284
5,0,"(22.442655802072967, -10.369006988115345, 3.032903117798344, 5.843889783402052, -3.131243502286246)",285
6,0,"(22.09681413172038, -10.932117131808262, 3.032903117798344, 5.843889783402052, -3.131243502286246)",286
7,0,"(22.218484018994747, -11.31012279182293, 3.032903117798344, 5.843889783402052, -3.131243502286246)",287
8,0,"(22.27542016373829, -11.875831675414336, 3.032903117798344, 5.843889783402052, -3.131243502286246)",288
9,0,"(22.206787627148348, -12.440240964125824, 3.032903117798344, 5.843889783402052, -3.131243502286246)",289
10,0,"(22.328457475394465, -12.818246394787426, 3.032903117798344, 5.843889783402052, -3.131243502286246)",290
11,0,"(22.259824934879443, -13.382655686642986, 3.032903117798344, 5.8438897834020525, -3.131243502286246)",291
12,0,"(22.25332694276995, -14.0104990948964, 3.032903117798344, 5.843889783402049, -3.131243502286246)",292
13,0,"(22.311562684903805, -14.450639276833202, 3.032903117798344, 5.8438897834020445, -3.131243502286246)",293
14,0,"(22.438184733968036, -20.417100546702773, 3.032903117798344, 5.843889783402033, -3.233817970979213)",294
15,0,"(22.757954608393693, -19.855290573292294, 3.032903117798345, 5.843889783402038, -3.287861108053688)",295
16,0,"(22.890021282354844, -19.228746846620524, 3.032903117798345, 5.843889783402038, -3.287861108053688)",296
17,0,"(22.457678723833602, -18.53357057819079, 3.032903117798345, 5.843889783402038, -3.287861108053688)",297
18,0,"(22.525011655338147, -18.094730042275852, 3.032903117798342, 5.84388978340204, -3.203165880396701)",298
19,0,"(22.532809252575504, -17.34131800534368, 3.032903117798342, 5.84388978340204, -3.203165880396701)",299
20,0,"(22.412438974386628, -16.837743718902942, 3.032903117798342, 5.84388978340204, -3.203165880396701)",300
21,0,"(22.420236569523006, -16.084331679825794, 3.032903117798344, 5.843889783402042, -3.131243502286246)",301
22,0,"(22.23643215308015, -15.642891925198175, 3.032903117798344, 5.843889783402042, -3.131243502286246)",302
23,0,"(22.179496012055644, -15.0771830840202, 3.032903117798344, 5.8438897834020445, -3.131243502286246)",303
24,0,"(22.49772007143237, -20.731672003785707, 3.032903117798344, 5.843889783402033, -3.233817970979213)",304
25,0,"(22.489922475314188, -21.48508396677221, 3.032903117798344, 5.843889783402033, -3.233817970979213)",305
26,0,"(22.48212488138494, -22.23849592341174, 3.032903117798344, 5.843889783402033, -3.233817970979213)",306
27,0,"(22.32808880006138, -22.969265659344096, 3.032903117798344, 5.843889783402033, -3.233817970979213)",307
28,0,"(22.317478248890062, -23.99446537466247, 3.032903117798344, 5.843889783402033, -3.233817970979213)",308
29,0,"(22.531858640119793, -24.509338910338666, 3.032903117798344, 5.843889783402033, -3.233817970979213)",309
30,0,"(22.442714255760123, -26.046380537724808, 3.032903117798344, 5.843889783402033, -3.233817970979213)",310
31,0,"(22.43587423175088, -26.70726817791835, 3.032903117798344, 5.843889783402033, -3.233817970979213)",311
32,0,"(22.690653285697522, -27.635246865121857, 3.032903117798345, 5.843889783402031, -3.3108482364698872)",312
33,0,"(23.014941119326103, -28.23346574109275, 3.032903117798345, 5.843889783402031, -3.3108482364698872)",313
34,0,"(22.810518786644657, -28.82621261182301, 3.032903117798345, 5.843889783402031, -3.3108482364698872)",314
35,0,"(23.136174616286667, -29.292253945137166, 3.032903117798343, 5.843889783402031, -3.3108482364698872)",315
36,0,"(22.656453175732786, -30.939684910773618, 3.032903117798344, 5.843889783402024, -3.3108482364698872)",316
37,0,"(22.905515004871738, -31.47580391103613, 3.032903117798344, 5.84388978340202, -3.3108482364698872)",317
38,0,"(22.82235206668114, -32.06848903618912, 3.032903117798339, 5.843889783402017, -3.21975770625042)",318
39,0,"(22.795755277211427, -32.99339885800002, 3.032903117798339, 5.843889783402017, -3.21975770625042)",319
40,0,"(23.146550758063555, -34.590357096244944, 3.032903117798339, 5.843889783402017, -3.21975770625042)",320
41,0,"(23.1275530457743, -35.25100693434071, 3.032903117798339, 5.843889783402017, -3.21975770625042)",321
42,0,"(23.1275530457743, -35.25100693434071, 3.032903117798339, 5.843889783402017, -3.21975770625042)",322
43,0,"(23.09715670658246, -36.30804665891211, 3.032903117798339, 5.843889783402017, -3.21975770625042)",323
44,0,"(23.010194231609297, -37.03286166446785, 3.032903117798339, 5.843889783402017, -3.21975770625042)",324
45,0,"(22.983597439367024, -37.957771378604676, 3.032903117798339, 5.843889783402017, -3.21975770625042)",325
46,0,"(23.089130635450722, -38.88648063104386, 3.032903117798339, 5.843889783402017, -3.21975770625042)",326
47,0,"(22.99836862074136, -39.74342555492471, 3.032903117798339, 5.843889783402017, -3.21975770625042)",327
48,0,"(23.504091311472422, -40.5514034944339, 3.032903117798339, 5.843889783402017, -3.21975770625042)",328
49,0,"(23.40952975504876, -41.54047833416094, 3.032903117798339, 5.843889783402017, -3.21975770625042)",329
50,0,"(23.447098175615075, -42.533352720900425, 3.032903117798339, 5.843889783402017, -3.21975770625042)",330
51,0,"(23.741327483012107, -43.79808609894085, 3.032903117798339, 5.843889783402017, -3.21975770625042)",331
52,0,"(23.84686066780769, -44.72679524504483, 3.032903117798339, 5.843889783402017, -3.21975770625042)",332
53,0,"(24.156288137650513, -45.46300882803833, 3.032903117798339, 5.843889783402017, -3.21975770625042)",333
54,0,"(24.156288137650513, -45.46300882803833, 3.032903117798339, 5.843889783402017, -3.21975770625042)",334
55,0,"(24.156288137650513, -45.46300882803833, 3.032903117798339, 5.843889783402017, -3.21975770625042)",335
56,1,"(29.509128433326254, -15.381980966098757, 2.853219172316136, 6.5480643735206865, -4.5714909077509045)",280
57,10,"(20.08760914816192, -50.55938092305612, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",306
58,10,"(20.30956843389972, -50.34196912092096, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",307
59,10,"(20.093672306403047, -49.97355282628424, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",308
60,10,"(20.098219677298804, -49.53418174157818, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",309
61,10,"(20.17372189460246, -49.315254115194726, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",310
62,10,"(20.115157141656784, -48.58759403872489, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",311
63,10,"(20.115157141656784, -48.58759403872489, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",312
64,10,"(20.184665893644254, -48.25783439305539, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",313
65,10,"(20.184665893644254, -48.25783439305539, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",314
66,10,"(20.31821139984354, -48.127024960615735, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",315
67,10,"(20.19150589552033, -47.59694707390267, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",316
68,10,"(20.19150589552033, -47.59694707390267, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",317
69,10,"(20.19150589552033, -47.59694707390267, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",318
70,10,"(20.19150589552033, -47.59694707390267, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",319
71,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",320
72,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",321
73,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",322
74,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",323
75,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",324
76,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",325
77,10,"(20.134939753377182, -47.26472247245226, 3.8256431342459383, 6.934003997148225, 235.60782953100374)",326
78,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",327
79,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",328
80,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",329
81,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",330
82,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",331
83,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",332
84,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",333
85,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",334
86,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",335
87,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",336
88,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",337
89,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",338
90,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",339
91,10,"(19.806514599023814, -47.1891585908563, 3.825643134245935, 6.934003997148221, 336.0376992122445)",340
92,11,"(29.552649531284374, -26.227664815580965, 3.084466942316742, 6.262402280128309, 51.87319963674092)",320
93,11,"(29.420519507614884, -26.223865278591138, 3.084466942316742, 6.262402280128305, 51.87319963674092)",321
94,11,"(29.420519507614884, -26.223865278591138, 3.084466942316742, 6.262402280128305, 51.87319963674092)",322
95,11,"(28.95996420093445, -26.14450189598979, 3.084466942316742, 6.262402280128313, 51.87319963674092)",323
96,11,"(28.62773937149749, -26.201068049090274, 3.084466942316742, 6.262402280128313, 51.87319963674092)",324
97,11,"(28.363479329988103, -26.193468973228892, 3.084466942316742, 6.262402280128313, 51.87319963674092)",325
98,11,"(27.970888824569585, -26.049940361210727, 3.084466942316742, 6.262402280128313, 51.87319963674092)",326
99,11,"(27.506533984319262, -26.10270697405808, 3.084466942316742, 6.262402280128313, 51.87319963674092)",327
100,11,"(27.310238734311973, -26.030942668033575, 3.084466942316742, 6.262402280128313, 51.87319963674092)",328
101,11,"(26.910049139998783, -26.151674051876597, 3.084466942316742, 6.262402280128313, 51.87319963674092)",329
102,11,"(26.245599511398837, -26.264806361370166, 3.084466942316742, 6.262402280128313, 51.87319963674092)",330
103,11,"(25.84920947034057, -26.253407748746913, 3.084466942316742, 6.262402280128313, 51.87319963674092)",331
104,11,"(25.84920947034057, -26.253407748746913, 3.084466942316742, 6.262402280128313, 51.87319963674092)",332
105,11,"(25.05642942115776, -26.230610525006327, 3.084466942316742, 6.262402280128313, 51.87319963674092)",333
106,11,"(24.463744154712444, -26.147447608650193, 3.084466942316742, 6.262402280128313, 51.87319963674092)",334
107,11,"(23.80309410851379, -26.128449925310285, 3.084466942316742, 6.262402280128313, 51.87319963674092)",335
108,11,"(23.06778988627176, -26.22937247825867, 3.084466942316742, 6.262402280128313, 51.87319963674092)",336
109,11,"(22.675199411371032, -26.085843874011626, 3.084466942316742, 6.262402280128313, 51.87319963674092)",337
110,11,"(22.010749860128996, -26.19897617566888, 3.084466942316742, 6.262402280128313, 51.87319963674092)",338
111,11,"(21.21796983220016, -26.176178951421672, 3.084466942316742, 6.262402280128313, 51.87319963674092)",339
