,ID,Feature,Time
0,2a1,"(15.160416826945172, -19.185534702747027, 2.467503420698168, 5.227761489521296, -3.143892725875038)",40
1,2a1,"(15.158739258100798, -18.45611009311675, 2.467503420698163, 5.227761489521296, -3.143892725875038)",41
2,2a1,"(15.156642297032528, -17.544329325524863, 2.467503420698165, 5.227761489521296, -3.143892725875038)",42
3,2a1,"(15.15454533595787, -16.632548555155978, 2.467503420698168, 5.227761489521296, -3.143892725875038)",43
4,2a1,"(15.152238678800355, -15.629589718441684, 2.467503420698163, 5.227761489521296, -3.143892725875038)",44
5,2a1,"(15.14951262941575, -14.44427472237738, 2.467503420698168, 5.227761489521297, -3.143892725875038)",45
6,2a1,"(15.147625364457163, -13.623672032794378, 2.46750342069817, 5.227761489521302, -3.143892725875038)",46
7,2a1,"(15.145528403395282, -12.711891267979556, 2.467503420698177, 5.227761489521302, -3.143892725875038)",47
8,2a1,"(15.143221746206148, -11.708932417519225, 2.467503420698181, 5.227761489521302, -3.143892725875038)",48
9,2a1,"(15.14070539292798, -10.614795498075335, 2.467503420698181, 5.227761489521302, -3.143892725875038)",49
10,2a1,"(15.138608431862956, -9.70301473187211, 2.467503420698181, 5.227761489521302, -3.143892725875038)",50
11,2a1,"(15.22706045659212, -8.517490036513609, 2.467503420698182, 5.227761489521302, -3.143892725875038)",51
12,2a1,"(15.224544103314061, -7.423353117069809, 2.467503420698179, 5.2277614895213, -3.143892725875038)",52
13,2a1,"(15.221608357827387, -6.14686004632931, 2.467503420698186, 5.2277614895213, -3.143892725875038)",53
14,2a1,"(15.219301700659326, -5.143901205033226, 2.467503420698177, 5.2277614895213, -3.143892725875038)",54
15,2a1,"(15.308382814787887, -4.231910726064836, 2.467503420698175, 5.2277614895213, -3.143892725875038)",55
16,2a1,"(15.305866461502058, -3.137773803288716, 2.467503420698179, 5.2277614895213, -3.143892725875038)",56
17,2a1,"(15.393899095908694, -1.769892931497386, 2.467503420698184, 5.2277614895213, -3.143892725875038)",57
18,2a1,"(15.391173046511629, -0.5845779300182451, 2.467503420698177, 5.2277614895213, -3.143892725875038)",58
19,2a1,"(15.480883248949441, 0.053878323532401004, 2.467503420698179, 5.2277614895213, -3.143892725875038)",59
20,2a1,"(15.479834768410491, 0.509768709410916, 2.467503420698182, 5.2277614895213, -3.143892725875038)",60
21,2a1,"(15.750223555651035, 1.8780690295099531, 2.467503420698179, 5.2277614895213, -3.143892725875038)",61
22,2a1,"(15.838885278090867, 2.972415675188545, 2.467503420698177, 5.2277614895213, -3.143892725875038)",62
23,2a1,"(15.836368924808978, 4.066552596298271, 2.467503420698186, 5.2277614895213, -3.143892725875038)",63
24,2a1,"(15.924401560281746, 5.43443348753093, 2.467503420698186, 5.2277614895213, -3.143892725875038)",64
25,2a1,"(16.0128535876965, 6.619958222606561, 2.467503420698177, 5.2277614895213, -3.143892725875038)",65
26,2a1,"(16.00949844993105, 8.078807475190404, 2.467503420698177, 5.2277614895213, -3.143892725875038)",66
27,2a1,"(16.0069820966185, 9.17294440962967, 2.467503420698177, 5.2277614895213, -3.143892725875038)",67
28,2a1,"(16.00404635110505, 10.449437492033008, 2.46750342069817, 5.2277614895213, -3.143892725875038)",68
29,2a1,"(16.00090090945466, 11.817108664247575, 2.46750342069817, 5.2277614895213, -3.143892725875038)",69
30,2a1,"(16.088514154310324, 13.367345739271485, 2.46750342069817, 5.227761489521302, -3.143892725875038)",70
31,2a1,"(16.085159016550037, 14.826194989633507, 2.46750342069817, 5.227761489521302, -3.143892725875038)",71
32,2a1,"(16.265418212635687, 15.738395259138901, 2.46750342069817, 5.227761489521302, -3.143892725875038)",72
33,2a2,"(29.257813502462305, -25.758295163587107, 2.297412363905136, 5.121193848800063, -4.730560471170434)",40
34,2a2,"(28.893310735911278, -25.850311977783342, 2.297412363905136, 5.121193848800063, -4.730560471170434)",41
35,2a2,"(28.619776390131445, -25.850941015133508, 2.297412363905136, 5.121193848800063, -4.730560471170434)",42
36,2a2,"(28.254644542897918, -25.669423539189964, 2.297412363905136, 5.121193848800063, -4.730560471170434)",43
37,2a2,"(28.25485423904756, -25.760601634555044, 2.297412363905136, 5.121193848800063, -4.730560471170434)",44
38,2a2,"(27.890351479158134, -25.852618447347467, 2.297412363905136, 5.121193848800063, -4.730560471170434)",45
39,2a2,"(27.343282803429165, -25.853876522844523, 2.297412363905136, 5.121193848800063, -4.730560471170434)",46
40,2a2,"(27.06974847264417, -25.85450555974362, 2.297412363905136, 5.121193848800063, -4.730560471170434)",47
41,2a2,"(26.52267982023998, -25.855763634353778, 2.297412363905136, 5.121193848800063, -4.730560471170434)",48
42,2a2,"(25.975611176159234, -25.85702170561254, 2.297412363905136, 5.121193848800063, -4.730560471170434)",49
43,2a2,"(25.610898752329888, -25.857860421438495, 2.297412363905136, 5.121193848800063, -4.730560471170434)",50
44,2a2,"(25.063830116587905, -25.859118496010396, 2.297412363905136, 5.121193848800063, -4.730560471170434)",51
45,2a2,"(24.42558338947038, -25.860586250616116, 2.297412363905136, 5.121193848800063, -4.730560471170434)",52
46,2a2,"(23.969692863153462, -25.861634644696267, 2.297412363905136, 5.121193848800063, -4.730560471170434)",53
47,2a2,"(23.149089943283915, -25.863521757726254, 2.297412363905136, 5.121193848800063, -4.730560471170434)",54
48,2a2,"(22.510423853062107, -25.68263333736364, 2.297412363905136, 5.121193848800063, -4.730560471170434)",55
49,2a2,"(21.68982099068232, -25.68452045276075, 2.297412363905136, 5.121193848800063, -4.730560471170434)",56
50,2a2,"(21.051784019952105, -25.77716629245687, 2.297412363905136, 5.121193848800063, -4.730560471170434)",57
51,2a2,"(20.413537382251857, -25.778634045885013, 2.297412363905136, 5.121193848800063, -4.730560471170434)",58
